Table_A,Column_A,Table_B,Column_B,label,result
event_tag_raw,tag,tag,id,1,0
l_recording_release,link,link,id,1,1
l_place_series,entity0,place,id,1,0
l_event_recording,entity0,event,id,1,0
l_recording_work,entity1_credit,release_group_alias_type,name,0,0
l_label_url,entity0,label,id,1,1
l_artist_event,entity0,artist,id,1,0
genre_alias_type,id,iso_3166_1,area,0,0
link_attribute_credit,attribute_type,link_creditable_attribute_type,attribute_type,1,0
work_attribute,work,work,id,1,0
event_tag_raw,editor,editor,id,1,0
release_alias,release,release,id,1,0
l_event_series,entity1,series,id,1,1
artist_ipi,artist,artist,id,1,0
release_group_primary_type,child_order,recording_alias,id,0,0
l_label_place,link,link,id,1,0
l_label_work,entity1_credit,area_type,description,0,0
l_place_work,entity1,work,id,1,0
series_ordering_type,id,iso_3166_1,area,0,0
series_alias_type,id,script,id,0,0
release_tag,tag,tag,id,1,0
editor_collection,type,work_type,id,0,1
l_label_recording,entity0,label,id,1,0
l_work_work,entity1_credit,release_group_secondary_type,name,0,0
l_event_url,entity1,url,id,1,0
l_label_series,link,link,id,1,0
l_place_series,entity1,artist_alias,id,0,0
work_alias_type,id,genre_alias,id,0,0
l_area_series,entity1,series,id,1,1
l_event_label,link,link,id,1,1
l_area_recording,entity0,area,id,1,0
l_area_genre,entity1_credit,area_type,description,0,0
release_status,child_order,l_artist_work,id,0,0
l_recording_url,link,link,id,1,0
editor,email,artist_type,name,0,0
release_group_meta,id,release_group,id,1,0
release_unknown_country,release,release,id,1,0
l_place_release,link,link,id,1,1
place_tag_raw,place,place,id,1,0
l_label_url,entity1_credit,url,url,0,0
instrument_tag,instrument,link_attribute_type,id,0,0
event_rating_raw,event,event,id,1,0
l_url_work,link,link,id,1,0
series_tag_raw,tag,tag,id,1,1
l_area_genre,link,link,id,1,0
l_release_group_url,entity0_credit,area_alias_type,name,0,0
instrument_alias_type,id,gender,id,0,0
edit,editor,editor,id,1,0
event_tag_raw,event,event,id,1,1
l_release_url,entity0,release,id,1,0
event_alias_type,id,l_area_area,id,0,0
series_ordering_type,id,l_area_area,id,0,0
series_alias_type,id,link_type,id,0,0
l_artist_event,entity1_credit,series_ordering_type,description,0,0
work_type,child_order,link_type,id,0,0
l_event_place,entity0_credit,genre_alias_type,name,0,0
vote,editor,editor,id,1,0
work_language,language,language,id,1,0
editor_collection_label,comment,work_alias_type,name,0,0
l_work_work,entity0_credit,series_alias_type,name,0,0
l_recording_work,entity0_credit,instrument_alias_type,name,0,0
l_event_series,link_order,iso_3166_1,area,0,0
l_event_event,link,link,id,1,0
l_area_genre,entity0_credit,release_status,description,0,0
series,ordering_type,l_recording_work,id,0,0
link_creditable_attribute_type,attribute_type,link_attribute_type,id,1,0
l_place_release,entity1_credit,series_ordering_type,description,0,0
editor_collection_area,collection,editor_collection,id,1,0
label_alias_type,id,script,id,0,0
l_place_url,entity1,url,id,1,0
l_work_work,entity1_credit,release_group_primary_type,description,0,0
edit_release,release,release,id,1,0
l_area_instrument,id,link_creditable_attribute_type,attribute_type,0,0
l_place_release,entity1_credit,release_group_alias_type,name,0,0
release_group_gid_redirect,new_id,release_group,id,1,0
editor_language,language,language,id,1,0
label_gid_redirect,new_id,label,id,1,0
l_label_series,entity1_credit,release_group_secondary_type,description,0,0
country_area,area,area,id,1,0
genre_alias_type,id,l_label_work,id,0,0
l_place_work,link,link,id,1,0
l_event_release,entity1_credit,release_status,description,0,0
l_event_recording,link,link,id,1,0
event_series,link_order,instrument,id,0,0
release_meta,id,release,id,1,0
l_artist_place,entity0,artist_meta,id,0,0
l_area_genre,entity0,l_recording_work,id,0,0
l_event_series,link_order,link_attribute_type,id,0,0
l_series_series,entity0_credit,recording_alias_type,name,0,0
series_tag,tag,tag,id,1,0
instrument_type,child_order,link_attribute_type,id,0,0
release_gid_redirect,new_id,release,id,1,0
l_label_series,entity0,label,id,1,0
work_type,child_order,recording_alias_type,id,0,0
genre_alias_type,id,gender,child_order,0,0
l_label_work,link,link,id,1,0
l_area_url,entity1,url,id,1,0
release_country,release,release,id,1,0
l_recording_work,entity1,work,id,1,0
l_area_instrument,id,genre_alias,id,0,0
l_series_url,entity1_credit,alternative_release_type,name,0,0
l_area_area,entity0_credit,genre_alias_type,name,0,0
l_event_series,entity1_credit,release_alias_type,name,0,0
work_alias,edits_pending,series_ordering_type,child_order,0,0
release_group_primary_type,id,country_area,area,0,0
l_artist_url,entity0,artist,id,1,0
label_tag_raw,label,label,id,1,0
vote,edit,edit,id,1,0
release_annotation,release,release,id,1,0
l_label_series,entity1,series,id,1,0
recording_tag_raw,editor,editor,id,1,0
release_unknown_country,release,release_meta,id,0,0
l_series_series,entity1_credit,series_type,description,0,0
release_tag_raw,tag,tag,id,1,1
l_area_series,link,link,id,1,0
l_label_url,entity1_credit,artist_alias_type,name,0,0
l_event_release_group,id,language,id,0,0
editor_collection_artist,artist,artist,id,1,0
editor_collection_type,child_order,artist_alias_type,id,0,0
l_label_place,entity1_credit,area_alias_type,name,0,0
l_url_work,edits_pending,series_ordering_type,child_order,0,0
work_tag,tag,tag,id,1,0
l_label_recording,entity1_credit,event_alias_type,name,0,0
l_artist_release_group,entity1,release_group,id,1,1
cdtoc,track_count,instrument,id,0,0
editor_collection,type,link_attribute_type,id,0,0
medium,release,release,id,1,0
release_label,release,release,id,1,0
instrument_type,id,series_type,id,0,0
series,ordering_type,annotation,id,0,0
annotation,editor,editor,id,1,0
l_event_place,entity0_credit,event_type,description,0,0
place_tag,tag,tag,id,1,0
l_place_release,entity0,place,id,1,0
l_event_series,entity0,event,id,1,0
l_area_series,entity0_credit,release_group_alias_type,name,0,0
editor_collection_work,work,work,id,1,1
l_area_genre,entity1,genre,id,1,0
work_attribute_type,comment,event_alias,name,0,0
editor_collection_series,comment,recording_alias_type,name,0,0
gender,id,area_type,id,0,0
l_release_series,entity1_credit,release_group_alias_type,name,0,0
release_group,artist_credit,artist_credit,id,1,0
instrument_alias_type,id,editor_collection_type,id,0,0
release_group_tag_raw,tag,tag,id,1,0
l_label_release,entity1,release,id,1,0
iso_3166_2,area,area,id,1,0
instrument_tag,count,series_ordering_type,id,0,0
editor_collection_area,comment,artist_alias_type,name,0,0
l_label_recording,link,link,id,1,0
l_artist_artist,link,link,id,1,1
iswc,work,work,id,1,0
artist_rating_raw,editor,editor,id,1,0
l_release_group_series,entity1,series,id,1,0
l_area_recording,entity1_credit,release_group_primary_type,description,0,0
l_series_work,entity0_credit,release_group_secondary_type,name,0,0
l_recording_url,entity0_credit,work_alias_type,name,0,0
l_label_release,entity0,label_meta,id,0,1
l_place_work,entity1_credit,instrument_alias_type,name,0,0
l_recording_series,entity1,series,id,1,1
label_type,id,release_group_secondary_type,id,0,0
artist_credit_name,artist_credit,artist_credit,id,1,0
l_area_genre,entity1,language,id,0,0
l_series_work,entity1,work,id,1,1
l_release_release,entity1_credit,series_type,description,0,0
l_label_release,link,link,id,1,1
l_event_event,entity1_credit,release_group_secondary_type,name,0,0
link_type_attribute_type,attribute_type,link_attribute_type,id,1,0
l_event_place,entity1,place,id,1,1
editor_collection,editor,editor,id,1,0
event_annotation,annotation,annotation,id,1,0
l_area_series,entity0,area,id,1,0
l_event_release_group,entity0_credit,event_type,description,0,0
l_area_event,entity1,event,id,1,0
area_tag_raw,editor,editor,id,1,0
iso_3166_3,area,area,id,1,0
l_work_work,entity0,work,id,1,1
instrument_annotation,instrument,genre,id,0,0
l_release_group_release_group,entity0,release_group,id,1,0
area_tag_raw,tag,tag,id,1,1
l_artist_work,entity1_credit,release_group_secondary_type,description,0,0
l_event_release_group,entity0,event,id,1,0
artist_isni,artist,artist,id,1,0
event_type,child_order,link_type,id,0,0
l_work_work,link,link,id,1,1
l_event_label,id,genre,id,0,0
iso_3166_1,area,area,id,1,0
label_rating_raw,label,label,id,1,0
release_country,country,country_area,area,1,0
label_ipi,label,label,id,1,0
series_alias_type,id,release_group_primary_type,child_order,0,0
place_alias,place,place,id,1,0
artist_meta,id,artist,id,1,0
l_area_event,entity1_credit,work_type,description,0,0
l_area_work,link,link,id,1,0
recording_alias_type,id,genre,id,0,0
work_type,id,area_alias,id,0,0
place_type,id,l_area_area,id,0,0
event_alias_type,id,place_alias_type,id,0,0
work_annotation,work,work,id,1,0
l_recording_recording,entity1_credit,instrument_alias_type,name,0,0
editor_subscribe_series,editor,editor,id,1,0
editor_language,editor,editor,id,1,0
l_label_place,entity1,place,id,1,0
series_ordering_type,id,work_type,id,0,0
l_release_url,entity0_credit,alternative_release_type,name,0,0
artist_alias,artist,artist,id,1,0
release_annotation,release,release_meta,id,0,1
l_event_recording,entity1_credit,place_alias_type,name,0,0
l_release_url,link,link,id,1,1
editor_collection_release_group,collection,editor_collection,id,1,0
l_series_series,entity0_credit,area_type,description,0,0
release_event,release,release,id,0,0
l_artist_artist,entity0,artist,id,1,0
l_artist_release,entity1,release,id,1,0
l_artist_release,entity0,artist,id,1,0
series_type,id,script,id,0,0
l_event_recording,entity0_credit,release_alias_type,name,0,0
l_artist_place,entity0,artist,id,1,0
editor_subscribe_series,series,series,id,1,0
l_event_work,entity1_credit,label_alias_type,name,0,0
series,ordering_type,l_label_work,id,0,0
genre_alias,genre,genre,id,1,0
work_type,child_order,release_group_secondary_type,id,0,0
medium,release,release_meta,id,0,0
l_label_work,entity1_credit,recording_alias_type,name,0,0
recording_alias_type,id,label_alias_type,id,0,0
editor_collection_work,collection,editor_collection,id,1,0
instrument_type,id,country_area,area,0,0
l_place_url,entity0,place,id,1,1
instrument_annotation,annotation,annotation,id,1,0
l_recording_series,entity0_credit,release_group_primary_type,description,0,0
series,type,series_type,id,1,0
l_artist_place,link,link,id,1,1
l_label_place,entity0,label,id,1,0
artist_type,id,genre_alias,id,0,0
l_artist_work,entity1,work,id,1,0
series_ordering_type,id,series_type,id,0,0
edit_artist,edit,edit,id,1,0
l_series_series,entity0,series,id,1,0
label_tag,label,label,id,1,0
release_group_primary_type,child_order,genre_alias,id,0,0
series_tag_raw,series,series,id,1,0
l_place_series,entity1_credit,series_alias_type,name,0,0
l_area_release,entity1_credit,alternative_release_type,name,0,0
area_tag,area,area,id,1,0
l_event_release_group,entity1,release_group,id,1,0
release_group_alias_type,id,language,id,0,0
release,release_group,release_group,id,1,0
l_place_release,entity1,release,id,1,0
l_artist_artist,entity1,artist,id,1,0
l_recording_recording,entity1_credit,series_type,description,0,0
place_rating_raw,place,place,id,1,0
artist_tag,artist,artist,id,1,0
editor_collection_series,series,series,id,1,0
label_type,id,instrument,id,0,0
l_event_label,entity0,event,id,1,0
iso_3166_3,area,work_attribute_type_allowed_value,id,0,0
edit_artist,artist,artist,id,1,1
l_area_url,entity1_credit,release_alias_type,name,0,0
l_series_series,entity1,series,id,1,0
work_language,work,work,id,1,0
l_event_release,entity0,event,id,1,0
l_area_release,entity1_credit,release_group_primary_type,description,0,0
l_area_url,entity0,area,id,1,0
l_artist_release,link,link,id,1,0
label_alias_type,id,area_type,child_order,0,0
instrument_alias_type,id,work_type,id,0,0
l_release_release,entity1,release,id,1,0
editor_collection_type,child_order,release_packaging,id,0,0
instrument_tag,count,l_artist_recording,id,0,0
l_area_area,entity1_credit,release_group_primary_type,description,0,0
l_event_url,entity0,event,id,1,0
l_artist_label,link,link,id,1,1
l_event_series,link,link,id,1,0
l_place_url,edits_pending,series_ordering_type,child_order,0,0
l_area_series,entity0_credit,instrument_alias_type,name,0,0
editor_collection_work,comment,genre_alias_type,name,0,0
l_event_recording,entity1_credit,work_alias_type,name,0,0
event_type,child_order,area_type,child_order,0,0
l_area_release,link,link,id,1,1
work_type,child_order,label_type,id,0,0
place_rating_raw,editor,editor,id,1,0
artist_alias_type,id,l_label_work,id,0,0
editor_collection_label,comment,genre_alias_type,name,0,0
event_rating_raw,editor,editor,id,1,0
edit_release_group,edit,edit,id,1,0
link_attribute,link,link,id,1,0
genre_alias_type,id,release_status,child_order,0,0
l_recording_series,entity0_credit,series_type,description,0,0
l_release_group_url,link,link,id,1,1
l_area_area,entity0_credit,work_alias_type,name,0,0
alternative_release_type,id,release_status,child_order,0,0
l_area_area,entity1,area,id,1,0
work_attribute_type_allowed_value,description,instrument_alias_type,name,0,0
label_tag_raw,editor,editor,id,1,0
editor_subscribe_artist,last_edit_sent,edit,id,1,0
l_release_group_release_group,link,link,id,1,0
l_area_recording,entity1_credit,release_group_secondary_type,description,0,0
l_series_url,entity0,series,id,1,1
l_area_area,link,link,id,1,0
editor_collection,type,area_alias,id,0,0
l_release_group_series,link,link,id,1,0
event_alias,event,event,id,1,0
release_alias_type,id,l_label_work,id,0,0
l_event_work,entity0,event,id,1,0
l_label_work,entity0,label,id,1,0
l_url_work,entity1,work,id,1,0
l_event_place,entity0,event,id,1,0
editor_collection_area,comment,instrument_alias_type,name,0,0
l_place_series,entity0_credit,series_alias_type,name,0,0
l_release_group_url,entity1_credit,place_alias_type,name,0,0
label_annotation,label,label,id,1,0
l_series_work,entity0_credit,alternative_release_type,name,0,0
l_event_recording,link_order,series_ordering_type,child_order,0,0
editor_collection_recording,recording,recording_meta,id,0,0
release_group_secondary_type_join,secondary_type,release_group_secondary_type,id,1,1
l_recording_recording,entity0_credit,event_type,description,0,0
medium_format,id,genre_alias,id,0,0
l_artist_url,entity1_credit,series_alias_type,name,0,0
l_url_work,entity1_credit,place_alias_type,name,0,0
l_event_event,entity1_credit,release_group_secondary_type,description,0,0
artist_alias_type,id,genre_alias,id,0,0
l_release_group_series,entity0_credit,url,url,0,0
l_label_recording,entity1_credit,release_group_primary_type,description,0,0
l_release_release,entity0,release,id,1,0
l_series_series,entity0_credit,series_ordering_type,description,0,0
event_tag,tag,tag,id,1,0
work_type,child_order,release_status,id,0,0
l_release_series,entity0,release,id,1,0
l_area_recording,link,link,id,1,0
l_release_group_series,entity0,release_group,id,1,0
editor_collection_area,comment,series_alias_type,name,0,0
l_work_work,entity0_credit,instrument_alias_type,name,0,0
l_release_group_series,entity0_credit,label_alias_type,name,0,0
l_area_url,entity0_credit,url,url,0,0
l_release_release,entity0_credit,release_group_primary_type,description,0,0
l_area_instrument,entity0,area,id,1,0
editor_collection_type,child_order,area,id,0,0
l_area_area,entity0_credit,release_status,description,0,0
l_label_label,link,link,id,1,1
l_series_url,entity0_credit,series_ordering_type,description,0,0
place_alias_type,id,work_alias_type,id,0,0
release_group_annotation,annotation,annotation,id,1,0
work_alias_type,id,series_ordering_type,id,0,0
l_recording_url,entity0_credit,series_ordering_type,description,0,0
work_annotation,work,work_meta,id,0,0
l_event_event,entity0,event,id,1,0
event_gid_redirect,new_id,event,id,1,0
link_attribute_text_value,attribute_type,language,id,0,0
l_area_recording,entity1_credit,work_alias_type,name,0,0
place_tag_raw,editor,editor,id,1,0
edit_recording,edit,edit,id,1,0
l_series_work,entity0,series,id,1,0
editor_collection_type,child_order,l_artist_recording,id,0,0
l_recording_url,entity1_credit,url,url,0,0
l_series_work,link,link,id,1,0
l_area_series,entity1_credit,series_alias_type,name,0,0
l_artist_url,entity1_credit,release_group_secondary_type,description,0,0
place_alias_type,id,genre_alias_type,id,0,0
l_artist_work,entity1_credit,release_group_primary_type,description,0,0
l_area_work,entity0,area,id,1,0
event_type,id,l_artist_work,id,0,0
l_event_event,entity1,event,id,1,0
l_event_work,entity1_credit,genre_alias_type,name,0,0
area_gid_redirect,new_id,area,id,1,0
l_area_genre,entity0,area,id,1,0
series_tag,series,series,id,1,0
instrument_alias_type,id,release_packaging,id,0,0
l_event_release,entity1_credit,event_alias_type,name,0,0
work_type,id,language,id,0,0
url_gid_redirect,new_id,url,id,1,0
l_recording_series,link,link,id,1,1
series_alias_type,id,release_group_secondary_type,id,0,0
l_area_series,entity1_credit,series_ordering_type,description,0,0
l_event_work,entity0_credit,genre_alias_type,name,0,0
l_series_series,link,link,id,1,1
l_release_series,entity0_credit,release_group_primary_type,description,0,0
l_artist_recording,link,link,id,1,1
l_event_label,entity1_credit,place_alias_type,name,0,0
instrument_tag,count,series_alias_type,id,0,0
editor_collection_label,label,label,id,1,0
l_artist_recording,entity1_credit,url,url,0,0
l_series_series,link,l_work_work,id,0,0
place_alias_type,id,area,id,0,0
series_alias_type,id,area_alias,id,0,0
l_recording_url,entity1,url,id,1,1
l_area_genre,id,language,id,0,0
gender,child_order,area_type,child_order,0,0
release_group_primary_type,child_order,instrument,id,0,0
event_annotation,event,event,id,1,0
event_meta,id,event,id,1,0
l_event_event,entity1_credit,artist_alias_type,name,0,0
editor_collection_series,comment,work_type,description,0,0
instrument_type,id,area_type,id,0,0
instrument_annotation,instrument,instrument,id,1,0
recording_tag,tag,tag,id,1,0
artist_tag,tag,tag,id,1,0
instrument_alias_type,id,release_group_secondary_type,id,0,0
l_event_work,entity1,work,id,1,1
l_series_work,entity1_credit,recording_alias_type,name,0,0
editor_collection_release_group,comment,place_alias_type,name,0,0
editor_collection_type,child_order,gender,id,0,0
script,id,language,id,0,0
l_artist_recording,entity0,artist_meta,id,0,0
l_area_area,entity0_credit,release_group_alias_type,name,0,0
editor_subscribe_label,last_edit_sent,edit,id,1,0
l_release_url,entity1_credit,work_alias_type,name,0,0
edit_release,edit,edit,id,1,0
l_label_url,entity1_credit,event_type,description,0,0
editor_subscribe_series,last_edit_sent,edit,id,1,0
editor_collection_label,collection,editor_collection,id,1,0
artist_rating_raw,artist,artist,id,1,0
editor_collection_type,child_order,place_alias_type,id,0,0
l_area_work,entity1,work,id,1,0
work_type,child_order,l_artist_work,id,0,0
work_attribute_type_allowed_value,work_attribute_type,work_attribute_type,id,1,0
artist_tag_raw,tag,tag,id,1,0
artist_annotation,artist,artist,id,1,0
editor_collection_release_group,position,series_ordering_type,child_order,0,0
work_tag_raw,work,work,id,1,0
editor_collection_release,release,release,id,1,0
release_group_rating_raw,editor,editor,id,1,0
l_area_series,entity1_credit,event_type,description,0,0
medium_index,medium,medium,id,1,0
l_work_work,entity1_credit,url,url,0,0
l_series_series,entity1_credit,genre_alias_type,name,0,0
l_release_url,entity1,url,id,1,0
l_recording_release,entity1_credit,release_status,description,0,0
l_event_label,entity0_credit,instrument_alias_type,name,0,0
editor_collection_type,child_order,release_group_primary_type,child_order,0,0
editor_collection_release,collection,editor_collection,id,1,0
l_label_recording,entity1_credit,artist_alias_type,name,0,0
l_label_place,entity0_credit,area_type,description,0,0
l_event_release,entity0_credit,place_alias_type,name,0,0
release_group_alias_type,id,l_label_work,id,0,0
l_work_work,entity1_credit,artist_alias_type,name,0,0
editor_collection_type,child_order,link_attribute_type,id,0,0
recording_alias_type,id,release_packaging,id,0,0
release_group_secondary_type_join,release_group,release_group,id,1,0
l_release_release,entity0_credit,release_status,description,0,0
release_status,id,language,id,0,0
l_label_url,link,link,id,1,0
work_tag,work,work,id,1,0
area_alias_type,id,event_type,id,0,0
l_event_release_group,entity1_credit,release_alias_type,name,0,0
area_annotation,annotation,annotation,id,1,0
l_area_url,entity1_credit,series_alias_type,name,0,0
artist_credit_name,artist,artist,id,1,0
iswc,work,work_meta,id,0,0
gender,child_order,instrument_type,child_order,0,0
label_type,id,work_type,id,0,0
l_place_series,link,link,id,1,1
link_text_attribute_type,attribute_type,link_attribute_type,id,1,0
series_ordering_type,id,label_type,id,0,0
artist_type,id,editor_collection_type,id,0,0
l_artist_url,link,link,id,1,0
l_release_group_release_group,entity1_credit,recording_alias_type,name,0,0
instrument_type,id,instrument,id,0,0
l_artist_release_group,entity1_credit,place_alias_type,name,0,0
l_release_series,entity1,series,id,1,0
l_series_url,entity0_credit,url,url,0,0
event_series,link_order,genre_alias,id,0,0
series,type,genre,id,0,0
l_artist_series,entity1_credit,event_alias_type,name,0,0
l_recording_release,entity0_credit,series_type,description,0,0
work_type,child_order,place_type,id,0,0
link_attribute_text_value,link,link,id,1,0
l_label_label,entity0,label,id,1,0
release_annotation,annotation,annotation,id,1,0
l_area_genre,entity0_credit,series_alias_type,name,0,0
editor_collection_release_group,release_group,release_group,id,1,1
release_alias_type,id,genre_alias,id,0,0
editor_collection_series,collection,editor_collection,id,1,0
work_attribute_type,id,work_attribute_type_allowed_value,id,0,0
work,edits_pending,series_ordering_type,child_order,0,0
series_ordering_type,id,recording_alias,id,0,0
place_tag_raw,tag,tag,id,1,0
work_attribute_type,comment,work_type,name,0,0
series_tag_raw,editor,editor,id,1,0
l_area_genre,entity0_credit,release_alias_type,name,0,0
event_alias_type,id,release_status,id,0,0
place_alias_type,id,editor_collection_type,id,0,0
editor_collection_work,comment,series_alias_type,name,0,0
l_label_label,entity1,label,id,1,0
alternative_release_type,id,label_type,id,0,0
work_attribute_type_allowed_value,work_attribute_type,country_area,area,0,0
l_recording_series,entity1_credit,label_alias_type,name,0,0
l_label_release,entity0,label,id,1,1
l_artist_series,entity0,artist,id,1,0
editor,email,iso_3166_2,code,0,0
recording_alias_type,id,release_alias_type,id,0,0
area_tag_raw,area,area,id,1,0
artist_alias_type,id,place_type,id,0,0
l_release_url,entity1_credit,series_type,description,0,0
l_event_release,link,l_artist_recording,id,0,0
l_area_release,entity0,area,id,1,0
l_artist_release_group,link,link,id,1,1
l_artist_release_group,entity0,artist,id,1,0
area_alias,area,area,id,1,0
release_group_tag_raw,release_group,release_group,id,1,0
l_artist_release,entity1,release_meta,id,0,1
instrument_tag,tag,tag,id,1,0
release_event,release,release_meta,id,0,1
artist_alias_type,id,area_type,id,0,0
l_artist_url,entity1,url,id,1,0
work_type,child_order,work_attribute_type_allowed_value,id,0,0
l_event_release_group,entity1_credit,series_alias_type,name,0,0
place_alias_type,id,area_type,child_order,0,0
series_ordering_type,id,event_type,id,0,0
l_area_instrument,link,link,id,1,0
l_event_release,entity1,release,id,1,0
release_status,child_order,medium_format,id,0,0
artist_tag_raw,artist,artist,id,1,0
artist_alias_type,id,iso_3166_1,area,0,0
l_series_url,entity1_credit,release_group_secondary_type,description,0,0
orderable_link_type,link_type,link_type,id,1,0
l_url_work,entity0,url,id,1,0
l_artist_event,entity1,event,id,1,0
l_area_release,entity1,release,id,1,1
l_label_release,entity1_credit,release_alias_type,name,0,0
alternative_release_type,description,label_alias_type,name,0,0
l_place_url,link,link,id,1,1
l_place_place,link,link,id,1,1
release_group_tag,tag,tag,id,1,1
work_meta,id,work,id,1,0
l_label_url,entity1,url,id,1,0
work_annotation,annotation,annotation,id,1,0
l_release_group_release_group,entity0_credit,release_alias_type,name,0,0
editor_collection_type,child_order,series_type,id,0,0
medium_track_durations,medium,medium,id,0,0
event_tag,event,event,id,1,0
artist_tag_raw,editor,editor,id,1,1
release_group_rating_raw,release_group,release_group,id,1,0
l_label_label,entity0,label_meta,id,0,0
editor_collection_area,comment,event_alias_type,name,0,0
l_recording_recording,entity0_credit,label_alias_type,name,0,0
release_tag_raw,release,release,id,1,0
l_release_series,entity0_credit,area_type,description,0,0
label_alias_type,id,work_attribute_type_allowed_value,id,0,0
place_tag,place,place,id,1,0
l_label_place,entity1_credit,url,url,0,0
l_recording_url,entity0_credit,event_alias_type,name,0,0
l_label_work,entity1,work,id,1,0
l_place_work,entity0,place,id,1,0
instrument_tag,instrument,instrument,id,1,0
gender,id,genre_alias,id,0,0
gender,child_order,language,id,0,0
instrument_alias_type,id,country_area,area,0,0
l_release_url,entity1_credit,recording_alias_type,name,0,0
recording_rating_raw,editor,editor,id,1,0
release_tag,release,release,id,1,0
l_series_url,entity1_credit,release_status,description,0,0
l_release_series,link,link,id,1,0
